v100,302.718,302.718,16.68,0,0
v4,228.397,228.397,34.263,0,0
v60,275.988,275.988,5.509,0,1
v70,276.614,276.614,4.789,1,1
v44,264.911,264.911,3.187,1,1
v8,294.137,294.137,25.077,0,0
v20,251.471,251.471,24.712,0,1
v16,287.005,287.005,3.929,0,1
v78,245.457,245.457,23.885,0,0
v17,292.789,292.789,19.961,0,1
v6,220.293,220.293,5.121,0,1
v57,254.264,254.264,25.798,0,1
v31,222.2,222.2,55.898,0,1
v41,240.072,240.072,2.707,0,1
v10,289.566,289.566,22.865,0,1
v64,233.57,233.57,3.719,0,1
v29,220.18,220.18,3.178,0,1
v40,236.098,236.098,6.682,1,0
v22,223.082,223.082,5.466,1,1
v68,264.252,264.252,30.415,0,1
v76,241.737,241.737,3.386,0,0
v75,295.891,295.891,18.711,0,1
v48,274.603,274.603,21.422,0,0
v5,281.635,281.635,2.808,0,1
v88,274.124,274.124,18.356,0,1
v98,251.688,251.688,3.874,0,1
v7,270.204,270.204,7.086,0,1
v74,275.702,275.702,2.67,0,1
v28,270.173,222.29,2.969,0,0
v63,278.988,278.988,3.898,0,1
v71,269.348,269.348,2.522,0,1
v56,276.919,276.919,29.385,0,1
v49,234.636,234.636,2.435,0,1
v13,273.088,273.088,3.365,0,1
v62,282.759,282.759,2.224,0,1
v66,284.873,284.873,6.25,0,1
v93,234.68,234.68,2.348,0,0
v91,278.067,278.067,3.24,0,0
v96,289.29,289.29,33.38,0,0
v80,229.749,229.749,3.944,0,1
v14,220.936,220.936,2.499,0,1
v51,290.621,290.621,21.035,0,0
v34,252.805,252.805,17.725,0,1
v82,266.967,266.967,2.226,0,1
v24,280.105,280.105,6.19,0,1
v36,272.915,272.915,0.811,0,1
v43,290.89,290.89,13.11,1,1
v58,227.343,227.343,6.824,0,1
v12,290.674,290.674,1.254,0,1
v95,244.675,244.675,5.031,0,1
v79,279.16,279.16,4.379,0,1
v33,257.498,257.498,7.746,0,0
v61,304.793,304.793,2.668,1,1
v32,217.151,217.151,5.466,0,0
v23,254.704,254.704,6.413,1,1
v69,278.387,278.387,4.535,0,1
v21,188.879,188.879,5.976,0,1
v85,268.519,268.519,38.68,0,1
v52,240.913,240.913,28.494,0,1
v54,215.528,215.528,3.369,0,1
v65,262.465,262.465,1.759,0,0
v39,224.757,224.757,9.12,2,1
v46,292.494,292.494,5.241,0,1
v15,275.674,275.674,13.837,0,1
v30,251.932,251.932,4.515,0,1
v67,282.933,282.933,3.238,0,1
v97,244.395,244.395,4.052,1,1
v37,257.131,257.131,6.732,0,1
v27,252.099,252.099,23.47,0,1
v42,237.939,237.939,3.486,0,1
v3,261.941,261.941,8.214,0,1
v35,222.094,222.094,5.775,0,0
v9,260.308,260.308,13.722,0,1
v84,283.352,283.352,3.26,0,1
v83,276.922,276.922,6.544,0,0
v19,263.125,263.125,3.261,0,1
v26,272.297,272.297,15.17,1,1
v55,284.15,229.642,1.295,0,1
v73,294.259,294.259,2.574,0,1
v86,275.972,275.972,4.073,0,0
v94,245.238,245.238,3.323,0,1
v81,236.013,236.013,3.985,0,1
v11,239.941,239.941,35.532,0,1
v92,249.195,249.195,41.828,0,1
v47,234.083,234.083,54.788,0,0
v89,282.454,282.454,20.366,0,1
v2,256,256,32.328,0,1
v99,249.648,249.648,1.845,0,1
v90,244.947,244.947,3.593,0,1
v50,269.707,269.707,4.95,0,0
v38,290.978,290.978,19.489,0,0
v25,253.281,253.281,28.576,0,0
v77,261.566,261.566,25.671,0,1
v53,229.493,229.493,71.49,0,0
v72,241.457,241.457,21.074,0,1
v1,269.593,269.593,7.746,1,1
v59,284.213,284.213,38.163,0,1
v87,286.552,286.552,2.905,0,1
v45,252.229,252.229,22.1,0,1
v18,291.707,291.707,4.599,0,1
